course_title,price,num_subscribers,num_lectures,level,content_duration
Beginner to Pro in PowerPoint: Complete PowerPoint Training,150,5786,50,All Levels,5.0
Investing 101: The Complete Online Investing Course,200,5334,42,All Levels,4.5
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,175,4005,25,Intermediate Level,2.0
Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),150,2877,81,All Levels,4.5
Forex Trading: Your Complete Guide to Get Started Like a Pro,140,1026,37,Beginner Level,3.0
Python Algo Stock Trading: Automate Your Trading!,95,1165,41,Beginner Level,2.5
THE Forex Robot: Incredible ROI (Robot Included),200,1843,35,All Levels,1.5
The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,45,8797,80,All Levels,6.5
Mastering High Probability Iron Condor Options Trading,200,1030,22,All Levels,2.0
The Complete Short Course on Ethereum,200,1041,28,All Levels,1.5
Options Trading Stocks: Proven Toolbox For Financial Success,195,7884,68,Intermediate Level,10.0
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,195,16900,52,Beginner Level,5.5
"Introduction to Finance Accounting Modeling and Valuation",200,11441,61,All Levels,4.5
Beginner to Pro in Excel: Financial Modeling and Valuation,195,22257,138,All Levels,7.5
The Complete Investment Banking Course 2017,195,8575,110,All Levels,5.5
The Complete Financial Analyst Course 2017,195,24481,174,All Levels,10.0
Python for Finance: Investment Fundamentals & Data Analytics,195,3811,103,All Levels,6.5
Financial Modeling for Startups & Small Businesses,195,4991,79,Beginner Level,11.5
Options Trading - How to Win with Weekly Options,115,7489,25,Intermediate Level,1.0
Black Algo Trading: Build Your Trading Robot,200,20195,227,All Levels,16.0
Accounting & Financial Statement Analysis: Complete Training,150,10042,43,All Levels,3.0
Cryptocurrency Trading: Complete Guide To Trading Altcoins,95,367,35,All Levels,5.0
Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,200,10603,42,All Levels,5.5
Three Steps Trading - Live Trading - Real Account,190,1197,46,All Levels,5.0
Option Trading for Rookies:  Understand Options Completely,150,2893,62,All Levels,2.0
How I Learned Stock Trading (and How You Can Too),200,1580,53,Expert Level,2.0
Learn to Trade for Profit: Find and Trade Winning Stocks,95,10605,77,All Levels,3.0
Trading Inside Bars - Master 1 Easy Pattern To Be Successful,125,2996,23,Intermediate Level,2.0
Four Fundamentals of Financial Planning,30,6219,20,All Levels,1.0
Options Trading - Calendar Spread Course for Every Trader,200,1113,17,All Levels,1.5
Dividend Investing: Build Your Portfolio for a Better Future,60,8314,47,Beginner Level,4.0
Learn Accounting. Understand Business.,200,5572,33,Beginner Level,5.5
How to Consistently Win Trading Stocks in 30 Days or Less,145,1433,15,Intermediate Level,1.0
A Beginner's Guide to Quantopian Futures API,20,936,11,Intermediate Level,1.5
How to Buy Cheap Options - Options Trading Pricing Model,200,658,19,All Levels,1.0
Excel Crash Course: Master Excel for Financial Analysis,105,8121,40,All Levels,3.5
"Comprehensive Guide to Financial Markets Investing &Trading",60,4187,79,Beginner Level,9.0
Stock Trading Ninja: Complete System For Trading Success,155,9445,38,All Levels,4.5
Hedge and Mutual Fund Careers: The Complete Guide,200,3255,102,All Levels,8.5
Algorithmic Trading In Forex: Create Your First Forex Robot!,185,7941,40,All Levels,6.5
The Power Modeling Bootcamp: Advanced Excel in 10 Days,150,1680,76,All Levels,5.5
Options Trading Basics (3-Course Bundle),180,10100,45,Beginner Level,11.0
How to Win 97% of Your Options Trades,125,5050,26,All Levels,1.5
How I Make Consistent Returns Trading Options,200,2310,26,All Levels,3.5
"Forex Strategies: Kelly Criterion Larry Williams and more!",185,5528,32,All Levels,3.0
"Elite Trend Trader: Learn To Trade Stocks Options & Forex",125,6451,28,All Levels,5.0
Options Trading Introduction: Day Trade Stock Options,95,12394,30,Beginner Level,2.5
The Almost Perfect Options Trading Strategy System - Unique,200,1793,15,All Levels,1.0
Forex Trading -  Learn to Trade Forex Like the Banks,20,3223,23,All Levels,1.0
Learn to Trade for Profit:Trading with Japanese Candlesticks,60,16385,45,Beginner Level,3.0
The Most Powerful Options Spread Trading Front Ratio Spread,200,1487,18,All Levels,2.0
What Finance Job is for You? Explanation of 14 Finance Roles,200,2951,60,All Levels,4.0
The Blueprint for Successful Stock Trading,120,2697,15,All Levels,1.0
Trading for Beginners - Intermediate Level,150,3979,39,Beginner Level,5.0
Start Trading Stocks Using Technical Analysis!,25,3190,45,All Levels,4.0
Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,200,1406,54,Expert Level,1.5
VPS for Forex Trading - Protect Your Forex Robots,160,4252,24,All Levels,2.0
Introduction to Accounting: The Language of Business,20,11958,134,Beginner Level,11.5
Basic Excel for Basic Bookkeeping and Accounting,95,7743,33,Beginner Level,1.5
"Using 'The Greeks To Understand Options""",50,2134,5,All Levels,1.0
Trading Options For Consistent Returns: Calendar Spreads,200,1214,20,All Levels,1.5
How to Create Your Personal Budget,20,3870,10,All Levels,1.0
The Complete Value Investing Course: A Proven Approach,200,2146,49,All Levels,4.5
FOREX Trading with Price Action,195,484,19,Beginner Level,1.0
Emini ES Futures - Advanced Non Directional Options Trading,200,1057,14,All Levels,1.5
Forex Trading - Advanced Fundamental Analysis,20,1754,49,Intermediate Level,2.5
How To Invest With Tiny Capital In Stocks ?,20,1239,6,Beginner Level,0.7
Learn How To Successfully Trade Stocks: In 5 Simple Steps,95,2493,108,All Levels,9.5
Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,150,2602,57,Beginner Level,5.0
Intermediate Options trading concepts for Stocks and Options,40,2000,9,All Levels,1.0
Options Trading 101: The Basics,0,1514,11,Beginner Level,0.55
Practical Accounts APP Overview,20,1361,14,Intermediate Level,3.0
Bitcoin Profits for Beginners,100,61,30,Beginner Level,1.5
Trend Traders Club: How To Find And Trade Fast Moving Trends,75,1513,60,All Levels,5.5
Financial Statements Basics,20,1374,9,Beginner Level,2.0
High performance Stock Trading using key Options techniques,40,2103,6,All Levels,1.5
Introduction to Financial Statement Analysis,20,1480,25,Beginner Level,1.5
Basics of Economics (College Level),25,2516,20,All Levels,1.5
Stock Market Investing for Beginners,0,50855,15,Beginner Level,1.5
Accounting for Beginners : Learn Basics in under 1 Hour,50,1971,20,Beginner Level,1.5
Straddle Options Trading - Profit in Any Market Direction,200,837,19,All Levels,1.0
Fundamentals of Forex Trading,0,17160,23,All Levels,1.0
"Binary Options: Trading Strategies 90% Accuracy and Signals",195,1723,24,Beginner Level,1.0
Website Investing 101 - Buying & Selling Online Businesses,0,6811,51,All Levels,2.0
Practical Accounts & Bookkeeping Automated Overview,20,2060,30,All Levels,4.5
Live Account - ETF Trading System - Hacking The Stock Market,150,2318,16,All Levels,5.0
Stock Market Leverage: How to Start Trading Options Wisely,95,2153,13,Beginner Level,1.5
Stock Market Foundations,0,19339,9,Beginner Level,2.0
Crash Course on Working Capital Management,20,3177,8,All Levels,1.0
Advanced Accounting A Complete Study for CA / CMA / CFA / CS,150,1535,462,All Levels,62.0
61% Profit In 1 Month - Crush Your Forex Trading Paradigm,20,1027,25,All Levels,1.5
How to create a routine Trading,25,307,5,All Levels,0.13333333333333333
"Forex Trading Secrets |MT4 Robot (EA) inside no coding",150,2096,29,All Levels,0.6833333333333333
Forex SOS Course: Trading Tweaks And Working Forex Strategy,50,1315,59,Beginner Level,2.5
Introduction to Financial Modeling,0,29167,8,Intermediate Level,1.5
Quantitative Aptitude for Banking & Competitive Examinations,50,1056,42,All Levels,3.0
Option Spreads and Credit Spreads Bundle,180,2212,24,Expert Level,4.5
B Com Accountancy I (Paper ECO 02 IGNOU),50,2946,284,All Levels,31.5
FOREX TRADING - Learn in a quick + profitable way + support,100,271,47,All Levels,3.5
Auditing Basics (Professional Course Level),25,3771,35,All Levels,2.5
Stock market Investing Encyclopedia: How to invest in stocks,200,3143,39,Intermediate Level,3.0
Learn the basics of preparing accounting statements,20,1951,20,Intermediate Level,0.55
Elliott Wave -Forex Trading With The Elliott Wave Theory,90,4022,14,Expert Level,1.0
Corporate Finance - A Brief Introduction,0,11724,17,Beginner Level,1.5
Excel functions to analyze and visualize data,20,2283,16,Intermediate Level,2.0
Building Financial Statements in Excel,35,1181,18,Beginner Level,1.0
Transfer Pricing A Complete Analysis,50,1852,14,All Levels,2.5
Accounting: Get Hired Without Work Experience,100,4661,20,All Levels,1.0
Forex Trading for Beginners - Basics,50,989,11,All Levels,1.0
Basic Bookkeeping Hacks,20,5841,28,All Levels,1.5
Complete Trading Plan Course for Stocks & Forex (10 Hours),200,1087,61,All Levels,9.5
"Forex Trading with Fixed 'Risk through Options Trading""",200,611,26,Beginner Level,1.0
"Intro to Investment Banking M&A IPO Modeling + Free Book",60,1922,15,All Levels,20.0
How to Pick The Right Penny Stocks To Invest In 2017,150,9015,23,All Levels,2.5
Top 10 Trading Ideas in the Equities Market,20,661,12,All Levels,1.0
Intro to Financial Modeling,105,1077,55,Beginner Level,6.0
Shark Accounting - Building a Business by the Numbers!,20,6050,17,Beginner Level,1.5
Forex Trading MAKE YOUR FIRST TRADE TODAY!,150,3523,45,All Levels,4.0
Accounting in 60 Minutes - A Brief Introduction,0,56659,16,Beginner Level,1.5
SAP FICO For Beginners - A Guide to SAP Financial Accounts,100,1444,59,Beginner Level,5.0
Learn how to double your Forex Trading Account in one trade,60,2900,36,Intermediate Level,2.5
"Accounting Superpowers: Learn Accounts Understand Business!",200,1437,34,Beginner Level,2.5
Python Algo Trading: FX Trading with Oanda,200,453,33,Intermediate Level,3.0
Save on Your Taxes,20,2437,23,All Levels,1.5
Financial Model Basics: Build a model from start to finish,30,5057,13,Beginner Level,1.0
Option Trading for Rookies: The Covered Call Option Strategy,95,6092,29,Beginner Level,1.5
EFT for Stock Options Trading Success & Making Better Trades,95,4530,31,All Levels,1.5
Learn to Trade the Stock Market without Blowing Your Profits,60,6967,34,All Levels,1.0
Get a Credit Repair Publication On Amazon and Live LIFE..,20,727,25,Beginner Level,3.0
Fundamentals of Accounting,20,1560,25,All Levels,3.0
"RSI Options Trading & Technical Analysis (3 Course Bundle)",200,1047,46,All Levels,3.5
Basics of Mutual Funds for CA / CMA / CS / CFA Exams,125,1045,17,Intermediate Level,1.0
Accounting 101: How to read an Accounting Balance Sheet,200,3050,22,Beginner Level,2.0
Stock Options Day Trading Mindset for Success,200,2988,43,All Levels,4.5
Introduction to bookkeeping and Accounting,35,2623,20,Beginner Level,1.0
Learn to Trade The News,200,1924,544,All Levels,46.5
"Value Investing Taught by Six Superinvestors",200,3804,66,All Levels,5.0
Trading for everyone - The Independent Investor Course I,120,4133,36,Beginner Level,4.0
Get Acquired: Learn From The Head Of Acquisitions For eBay,195,1420,29,All Levels,2.5
Stock Market investment: Practical Accounting,125,1120,43,Beginner Level,3.0
"How to remove 'Risk from Penny Stocks - Options Trading""",200,668,22,All Levels,1.0
Accounting Basics in 66 Minutes (absolutely for beginners),25,4086,14,All Levels,1.5
"Tax Accounting: Difficult Topic Made Easy to Understand",200,1033,29,All Levels,2.0
Analysis of Company Financial Statements,20,832,34,All Levels,1.5
Forex Trading Like Banks – Step by Step with Live Examples,195,677,40,All Levels,4.5
Fundamentals of Investing!,20,3125,13,Beginner Level,2.0
Bank Financial Management A Comprehensive Study,50,1081,21,All Levels,1.5
Learn to Trade Forex and Stocks: From Beginner to Advanced,200,1645,42,All Levels,2.0
"Master 'Technical Analysis and Chart reading skills Bundle""",120,3348,13,All Levels,3.0
Naked Put Options Trade Covered Call & Poor Man Covered Call,200,939,19,All Levels,1.5
The Ultimate Guide to Dividend & Dividend Growth Investing,200,2115,88,All Levels,5.5
Charting for Beginners 101: Technical Analysis Demystified,45,2230,10,All Levels,1.5
Build a DCF Valuation Model,50,2053,44,All Levels,5.5
Introductory Financial Accounting,80,1793,54,Beginner Level,10.0
Introduction to Cryptocurrencies and Blockchain,0,3775,11,Beginner Level,2.0
Trade Pullback Candlestick Strategy - Make Consistent Pips,200,521,24,All Levels,3.0
Accounting Standards Basics (Professional Course Level),20,2222,12,All Levels,0.7
Use the Magic Multiple Moving Average Forex Trading system,50,1097,10,Intermediate Level,1.0
QuickBooks 2015 Training for Newbies,200,2506,76,Beginner Level,6.0
TRADING PSYCHOLOGY: Trading Mindset Mastery,120,975,23,Intermediate Level,1.0
Option Trading: How to Adjust Delta-Neutral Strangles!,145,1398,26,All Levels,1.5
Profitable binary option trading strategy,195,1096,24,All Levels,1.5
Tax Strategy: Financial Planning for Beginners,200,1703,25,All Levels,2.0
Accounting 2 Simplified for You,45,1446,27,Beginner Level,5.0
Project Funding Modelling (for Professionals),20,2736,8,All Levels,1.5
Investing: How I Consistently Beat The Stock Market,200,2000,34,All Levels,4.5
Bookkeeping Basics:  Understand the Fundamentals,75,853,48,Beginner Level,4.5
Leasing - A Comprehensive Study (Professional Course Level),20,3094,22,All Levels,3.5
Trading Options For Consistent Returns: Options Basics,0,4077,20,Beginner Level,1.5
TechniTrader Leading Hybrid Indicator Trading,20,4117,5,Intermediate Level,1.0
Financial modeling: Build a DCF equity valuation model,20,1369,31,All Levels,1.5
CryptoArbitrager: Bitcoin Trading Robot (no mining),150,1224,14,All Levels,0.55
Accounting Is Easy (for Beginners),20,3870,90,All Levels,9.0
Non Directional Weekly Options Trading System - ETF & Emini,200,897,21,All Levels,2.0
The Complete Position Trading Course: Position Trading Stock,45,1311,5,All Levels,1.0
Master Iron Condors - Double the credit for half the risk,60,1338,7,Expert Level,1.0
Basics of investing in Mutual Funds,20,1589,42,Intermediate Level,1.5
A Value Investing Approach to the Stock Market,20,1189,15,All Levels,1.5
Learn how to INVEST for huge profits or make it big trading!,50,701,37,All Levels,5.5
"How to Fund your Million Dollar Idea: Equity Debt Unfund",50,1105,54,Intermediate Level,6.0
Mastering Candlestick Charting : High Probability Trading,50,123,35,All Levels,2.0
Binary Options Course - Level 2,0,5874,9,Intermediate Level,2.0
Stock Technical Analysis with R,50,354,49,All Levels,7.0
"Get to know the VIX Index (aka 'The Fear Index)""",60,727,9,All Levels,1.0
Apply finance concepts for smart project management,0,3465,24,Beginner Level,2.0
Introduction to Futures Trading and Live Trade Demonstration,60,54,6,Expert Level,0.7166666666666667
Crowdfunding to Win,40,627,15,All Levels,1.5
Comprehensive Forex Mastery Program,45,650,97,All Levels,10.0
Preparation of Consolidated Financial Statements (Basic),0,965,18,Intermediate Level,1.5
Succeed in Bonds Even if You Don't Know Where to Start,200,1113,8,All Levels,1.0
Learn to Trade for Profit: Ten Most Profitable Trading Rules,95,739,45,All Levels,2.0
Succeed in Lotto Even if You Don't Know Where to Start!,20,1201,18,All Levels,1.5
CFA Corporate Finance Level 2,50,2474,128,All Levels,17.5
Pin Bars: The Most Powerful Forex Trading Signal,200,494,19,All Levels,1.0
Stock Options Trades Using Interactive Brokers,95,1580,14,Intermediate Level,1.0
Introduction to Options - Strategies For Consistent Profits,40,617,55,All Levels,4.5
Risk in Forex Transactions - for CA / CS / CFA exams,20,2235,9,All Levels,1.0
Basics of Business Statistics (College Level),20,2293,28,All Levels,2.0
"Trading Seasonal Price Patterns in Stocks Futures & Forex!",200,1094,13,Beginner Level,2.0
Interpreting Financial Statements,20,1449,23,Beginner Level,1.5
Introduction to Bookkeeping (Accounting),20,3251,59,Beginner Level,12.0
CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery,60,607,16,Intermediate Level,2.0
Investment Banking: How to Land a Job on Wall Street,75,1218,63,All Levels,3.5
Learn To Invest In Index Funds and ETFs In 7 Easy Steps,20,1132,18,All Levels,1.0
Financial modeling: Build a multiples valuation model,20,656,20,All Levels,1.5
Trade Recap I - A Real Look at Futures Options Markets,20,3339,11,Beginner Level,1.5
Advanced Stock Options for Serious Equity Investors!,200,1271,7,Expert Level,1.5
Trading Binary Options for Fun and Profit,20,1574,46,All Levels,2.0
CFA: Fast Track your career in Finance,20,1393,21,Beginner Level,2.0
How to be a Profitable Forex Trader,20,1029,7,All Levels,0.6833333333333333
Excel Dashboard - Interactive Excel Dashboard and Charts,30,843,34,All Levels,3.0
Accounting 101: Learn Business Finance Forecasting in 60mins,95,1730,12,All Levels,1.5
The Securities Trade Lifecycle,50,1182,22,All Levels,4.0
Double your Forex Account using the MAGIC MA trading robot,65,1160,24,Intermediate Level,2.5
Technical Analysis 101: How to Profit During Market Crashes,95,1730,53,All Levels,2.0
Advanced Accounting for Investment Banking,50,1260,38,Intermediate Level,4.0
Investing In Stocks With 10 Simple Rules,95,871,59,All Levels,2.0
Venture Capital. What is it and Why it Matters to You!,50,1566,25,All Levels,2.5
Cash Flow Valuation: Develop Your Financial Literacy,105,2987,19,All Levels,2.0
Direction-Independ Trading - Elite Forex Traders  Strategy,120,973,28,All Levels,2.5
How to Become a Financial Analyst from Scratch!,40,2177,38,Beginner Level,5.0
First Steps to Trading the Forexmarkets : Technical Analysis,35,1772,15,Beginner Level,3.5
Financial analysis: Compare performance of companies,20,1850,20,All Levels,1.0
Forex for Beginners: Easy Forex Trading for Beginners,0,1780,9,Beginner Level,1.0
Investment Crowdfunding 101 (a.k.a Equity Crowdfunding),0,4607,11,Beginner Level,0.5333333333333333
